"DIAG_PRINC","n"
"M840",2
"N288",2
"N44",2
"P251",2
"P271",2
"P368",2
"P393",2
"P559",2
"P589",2
"P711",2
"P90",2
"P928",2
"Q180",2
"Q212",2
"Q359",2
"Q393",2
"Q660",2
"Q700",2
"R230",2
"R51",2
"S011",2
"S018",2
"S026",2
"S060",2
"S062",2
"S314",2
"S520",2
"S529",2
"S821",2
"T019",2
"T174",2
"T212",2
"T302",2
"T658",2
"T758",2
"Z478",2
"A059",1
"A083",1
"A310",1
"A390",1
"A491",1
"A501",1
"A502",1
"A505",1
"A527",1
"A858",1
"B002",1
"B011",1
"B082",1
"B088",1
"B09",1
"B268",1
"B269",1
"B349",1
"B374",1
"B550",1
"B86",1
"B955",1
"C119",1
"C388",1
"C493",1
"C729",1
"C749",1
"C880",1
"C920",1
"C969",1
"D180",1
"D236",1
"D431",1
"D519",1
"D578",1
"D600",1
"D692",1
"D699",1
"D70",1
"D759",1
"D77",1
"E131",1
"E440",1
"E46",1
"E780",1
"E86",1
"F608",1
"F840",1
"G002",1
"G008",1
"G112",1
"G404",1
"G406",1
"G479",1
"G589",1
"G809",1
"G910",1
"G912",1
"G930",1
"G942",1
"G969",1
"H001",1
"H024",1
"H028",1
"H250",1
"H408",1
"H502",1
"H605",1
"H618",1
"H650",1
"H651",1
"H660",1
"H664",1
"H700",1
"H919",1
"I078",1
"I110",1
"I279",1
"I280",1
"I456",1
"I460",1
"I516",1
"I64",1
"I888",1
"J100",1
"J129",1
"J13",1
"J209",1
"J351",1
"J359",1
"J398",1
"J410",1
"J47",1
"J690",1
"J860",1
"J90",1
"J980",1
"K078",1
"K118",1
"K121",1
"K20",1
"K221",1
"K222",1
"K228",1
"K318",1
"K412",1
"K449",1
"K450",1
"K561",1
"K562",1
"K565",1
"K603",1
"K612",1
"K658",1
"K752",1
"K754",1
"K778",1
"K830",1
"K914",1
"K922",1
"K931",1
"K938",1
"L028",1
"L040",1
"L139",1
"L209",1
"L211",1
"L219",1
"L238",1
"L271",1
"L299",1
"L309",1
"L720",1
"L721",1
"L919",1
"L929",1
"L988",1
"L998",1
"M125",1
"M138",1
"M248",1
"M258",1
"M609",1
"M848",1
"M861",1
"N048",1
"N082",1
"N133",1
"N138",1
"N139",1
"N158",1
"N179",1
"N308",1
"N309",1
"N359",1
"N994",1
"O40",1
"P008",1
"P059",1
"P122",1
"P131",1
"P209",1
"P211",1
"P239",1
"P249",1
"P252",1
"P269",1
"P282",1
"P284",1
"P289",1
"P290",1
"P292",1
"P358",1
"P359",1
"P363",1
"P371",1
"P378",1
"P379",1
"P394",1
"P508",1
"P509",1
"P543",1
"P548",1
"P550",1
"P590",1
"P598",1
"P610",1
"P611",1
"P615",1
"P719",1
"P760",1
"P914",1
"P918",1
"P922",1
"Q010",1
"Q038",1
"Q039",1
"Q043",1
"Q221",1
"Q224",1
"Q228",1
"Q256",1
"Q257",1
"Q258",1
"Q262",1
"Q334",1
"Q339",1
"Q351",1
"Q374",1
"Q378",1
"Q400",1
"Q422",1
"Q429",1
"Q442",1
"Q444",1
"Q525",1
"Q530",1
"Q540",1
"Q542",1
"Q614",1
"Q650",1
"Q651",1
"Q654",1
"Q656",1
"Q659",1
"Q758",1
"Q780",1
"Q792",1
"Q909",1
"Q913",1
"Q999",1
"R05",1
"R11",1
"R13",1
"R229",1
"R31",1
"R398",1
"R55",1
"R570",1
"R599",1
"S009",1
"S040",1
"S065",1
"S099",1
"S110",1
"S223",1
"S362",1
"S370",1
"S524",1
"S619",1
"S626",1
"S720",1
"S721",1
"S724",1
"S818",1
"S822",1
"S910",1
"S924",1
"S983",1
"T025",1
"T111",1
"T131",1
"T141",1
"T171",1
"T181",1
"T188",1
"T200",1
"T210",1
"T232",1
"T421",1
"T492",1
"T509",1
"T751",1
"T784",1
"Y710",1
"Z470",1
"Z523",1
"Z930",1
