"DIAG_PRINC","n"
"J46",1
"J849",1
"J85",1
"J988",1
"K04",1
"K05",1
"K13",1
"K137",1
"K210",1
"K22",1
"K28",1
"K319",1
"K351",1
"K403",1
"K45",1
"K561",1
"K564",1
"K598",1
"K60",1
"K62",1
"K63",1
"K638",1
"K668",1
"K72",1
"K758",1
"K77",1
"L024",1
"L028",1
"L038",1
"L048",1
"L209",1
"L30",1
"L303",1
"L508",1
"L55",1
"L89",1
"L94",1
"L99",1
"M008",1
"M02",1
"M06",1
"M24",1
"M25",1
"M43",1
"M464",1
"M65",1
"M79",1
"M84",1
"M86",1
"N039",1
"N05",1
"N11",1
"N118",1
"N130",1
"N210",1
"N25",1
"N31",1
"N322",1
"N338",1
"N35",1
"N459",1
"P070",1
"P072",1
"P14",1
"P211",1
"P282",1
"P285",1
"P289",1
"P290",1
"P35",1
"P363",1
"P378",1
"P390",1
"P509",1
"P54",1
"P540",1
"P550",1
"P58",1
"P703",1
"P710",1
"P74",1
"P769",1
"P81",1
"P83",1
"P920",1
"P925",1
"P94",1
"P963",1
"Q02",1
"Q03",1
"Q06",1
"Q150",1
"Q17",1
"Q20",1
"Q206",1
"Q218",1
"Q23",1
"Q233",1
"Q25",1
"Q257",1
"Q28",1
"Q289",1
"Q353",1
"Q423",1
"Q431",1
"Q436",1
"Q44",1
"Q52",1
"Q531",1
"Q56",1
"Q61",1
"Q641",1
"Q668",1
"Q68",1
"Q69",1
"Q75",1
"Q759",1
"Q85",1
"Q89",1
"Q90",1
"R00",1
"R02",1
"R040",1
"R100",1
"R16",1
"R223",1
"R23",1
"R560",1
"R57",1
"R59",1
"R80",1
"S011",1
"S020",1
"S25",1
"S31",1
"S422",1
"S523",1
"S526",1
"S66",1
"S68",1
"S718",1
"S723",1
"S728",1
"S821",1
"S822",1
"S828",1
"S96",1
"T02",1
"T022",1
"T111",1
"T16",1
"T17",1
"T20",1
"T23",1
"T260",1
"T492",1
"T509",1
"T622",1
"T630",1
"T659",1
"T818",1
"T846",1
"T95",1
"Z38",1
"Z43",1
"Z470",1
"Z523",1
